ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
1,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,ACCESORIOS,CADENA,"CADENA 42 DIENTES 3/8 24"" NT6260 CRAFTOP",42 DIENTES 3/8,"24""",NT6260,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,32.707792,65.415584,,
2,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,ACCESORIOS,CADENA,"CADENA 43 DIENTES 0.325 22"" NT5860 CRAFTOP",43 DIENTES 0.325,"22""",NT5860,CRAFTOP,PRODUCTO,4,4,U. MIN,,,,25,100,,
3,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,ACCESORIOS,CADENA,"CADENA 47 DIENTES 0.325 24"" NT6020 CRAFTOP",47 DIENTES 0.325,"24""",NT6020,CRAFTOP,PRODUCTO,1,1,U. MIN,,,,32,32,,
4,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,CORTADORA Y PODADORA,CORTADORA Y PODADORA   NTMU430D41N1 CRAFTOP,,,NTMU430D41N1,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#11 200610801,,605,605,01-08-2021,1016
5,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB430D CRAFTOP,,,NTB430D,CRAFTOP,PRODUCTO,3,1,U. MIN,GENERAL,#49 190705988B,,362.561217,362.561217,01-08-2021,1016
6,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB430D CRAFTOP,,,NTB430D,CRAFTOP,PRODUCTO,3,1,U. MIN,GENERAL,#29 190705823B,,362.561217,362.561217,01-08-2021,1016
7,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB430D CRAFTOP,,,NTB430D,CRAFTOP,PRODUCTO,3,1,U. MIN,GENERAL,#60 201235399B,,362.561217,362.561217,01-08-2021,1016
8,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB520D CRAFTOP,,,NTB520D,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#143 200917599B,,342.9,342.9,01-08-2021,1016
9,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA   NTB520D CRAFTOP,,,NTB520D,CRAFTOP,PRODUCTO,2,1,U. MIN,GENERAL,#70 200917407B,,342.9,342.9,01-08-2021,1016
10,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,DESBROZADORA,DESBROZADORA DE MOCHILA  NTBG520D CRAFTOP,DE MOCHILA,,NTBG520D,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#14 201025584,,425.99,425.99,01-08-2021,1016
11,CRAFTOP HUANUCO,CRAFTOP HUANUCO,GENERICO,AGRICOLA,ELECTROBOMBA,ELECTROBOMBA 220V  EWP60 CRAFTOP,220V,,EWP60,CRAFTOP,PRODUCTO,2,1,U. MIN,,112021100106,,87.254,87.254,24-08-2023,263
